Sentence,Sentiment,Category
(It works!),Positive,Positive Sentiment
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",Negative,Technical Issues
"Terrible product, and waste of money!",Negative,Purchase or Value Concerns
Last time buying from you.,Negative,Purchase or Value Concerns
It was a waste of my money.,Negative,Purchase or Value Concerns
So far it has worked like a charm.,Positive,Positive Sentiment
"I have only had it for a few weeks, but so far, so good.",Positive,Positive Sentiment
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",Positive,Positive Sentiment
Would recommend this item.,Positive,Positive Sentiment
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,Positive,Positive Sentiment
"Nice case, feels good in your hands.",Positive,Positive Sentiment
The item received was Counterfeit.,Negative,Negative Sentiment
"Just really good.. So far, probably the best BT headset I have ever had.",Positive,Positive Sentiment
Works fine.,Positive,Positive Sentiment
I received my headset in good time and was happy with it.,Positive,Positive Sentiment
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,Positive,Positive Sentiment
My sister has one also and she loves it.,Positive,Positive Sentiment
Good Quality.,Positive,Positive Sentiment
This is by far the worst purchase I've made on Amazon.,Negative,Purchase or Value Concerns
Excellent dual-purpose headset.,Positive,Positive Sentiment
Excellent!.,Positive,Positive Sentiment
Does not work for listening to music with the cingular 8125.,Negative,Technical Issues
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",Positive,Positive Sentiment
"The bottowm line...another worthless, cheap gimmick from Sprint.",Negative,Negative Sentiment
Having trouble with volume.,Negative,Technical Issues
The only good thing was that it fits comfortably on small ears.,Positive,Positive Sentiment
WARNING - DO NOT BUY!!.,Negative,Purchase or Value Concerns
"I am pairing this with my iphone, and I could not be happier with it so far.",Positive,Positive Sentiment
"When it opens, the battery connection is broken and the device is turned off.",Negative,Technical Issues
"I didn't want the clip going over the top of my ear, causing discomfort.",Negative,Negative Sentiment
Best headset ever!!!.,Positive,Positive Sentiment
Don't trust their website and don't expect any helpful support.,Negative,Negative Sentiment
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,Positive,Positive Sentiment
The speaker is of low quality so as making the ring tones sound very cheap.,Negative,Technical Issues
"Fits comfortably, came with three sizes of earbud tips.",Positive,Positive Sentiment
Excellent product for the price.,Positive,Positive Sentiment
Bad Reception.,Negative,Negative Sentiment
This product is very High quality Chinese CRAP!!!!!!,Negative,Negative Sentiment
It was quite comfortable in the ear.,Positive,Positive Sentiment
Great phone.,Positive,Positive Sentiment
Don't buy this product - It fails!.,Negative,Technical Issues
Everything about this product is wrong.First,Negative,Negative Sentiment
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,Positive,Positive Sentiment
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",Negative,Negative Sentiment
Terrible phone holder.,Negative,Negative Sentiment
The cutouts and buttons are placed perfectly.,Positive,Positive Sentiment
I love being able to use one headset for both by land-line and cell.,Positive,Positive Sentiment
Problem is that the ear loops are made of weak material and break easily.,Negative,Technical Issues
Not nearly as good looking as the AMAZON picture makes it look.,Negative,Negative Sentiment
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",Positive,Positive Sentiment
How stupid is that?,Negative,Negative Sentiment
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",Positive,Positive Sentiment
Seller shipped quickly and much cheaper than the competitors.,Positive,Positive Sentiment
"Good show, Samsung.",Positive,Positive Sentiment
So I bought about 10 of these and saved alot of money.,Positive,Positive Sentiment
It always cuts out and makes a beep beep beep sound then says signal failed.,Negative,Technical Issues
Couldn't figure it out,Negative,Negative Sentiment
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",Negative,Technical Issues
So I had to take the battery out of the phone put it all back together and then restart it.,Negative,Technical Issues
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",Negative,Negative Sentiment
Leopard Print is wonderfully wild!.,Positive,Positive Sentiment
Works for me.,Positive,Positive Sentiment
"Saggy, floppy piece of junk.",Negative,Negative Sentiment
much better than the hard plastic cases.,Positive,Positive Sentiment
It also had a new problem.,Negative,Technical Issues
Happy so far!.,Positive,Positive Sentiment
cool phone.,Positive,Positive Sentiment
Works good.,Positive,Positive Sentiment
Motorola finally got the voice quality of a bluetooth headset right.,Positive,Positive Sentiment
It looses connection to the phone even when it is within a couple feet between the two.,Negative,Negative Sentiment
"but it is great, i would really recommend it",Positive,Positive Sentiment
Makes it easier to keep up with my bluetooth when I'm not wearing it.,Negative,Negative Sentiment
As I said above....PRETTY USELESS!,Negative,Negative Sentiment
Never got it!!!!!,Negative,Negative Sentiment
This pair of headphones is the worst that I have ever had sound-wise.,Negative,Technical Issues
[...] down the drain because of a weak snap!,Negative,Negative Sentiment
Does not charge the Cingular (ATT) 8525 phone.,Negative,Technical Issues
"You get extra minutes so that you can carry out the call and not get cut off.""",Positive,Positive Sentiment
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",Negative,Negative Sentiment
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,Negative,Negative Sentiment
The headset fulfills my requirements so I am happy with my purchase.,Positive,Positive Sentiment
Logitech Bluetooth Headset is a 10!.,Positive,Positive Sentiment
"I like the fact that it rests lightly against your ear, rather than inside.",Positive,Positive Sentiment
A lot of websites have been rating this a very good phone and so do I.,Positive,Positive Sentiment
I have tried these cables with my computer and my iPod and it works just fine.,Positive,Positive Sentiment
"The mic there is a joke, and the volume is quite low.",Negative,Technical Issues
I'm returning them.,Negative,Purchase or Value Concerns
I does not maintain a connection with the computer while it is on my lap.,Negative,Negative Sentiment
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,Positive,Positive Sentiment
I have had mine for about a year and this Christmas I bought some for the rest of the family.,Positive,Positive Sentiment
"Otherwise, easy to install and use, clear sound.",Positive,Positive Sentiment
nice leather.,Positive,Positive Sentiment
I had to purchase a different case.,Negative,Purchase or Value Concerns
It is a joy to use.,Positive,Positive Sentiment
Very much disappointed with this company.,Negative,Negative Sentiment
Very satisifed with that.,Positive,Positive Sentiment
It didn't charge for me.,Negative,Technical Issues
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,Positive,Positive Sentiment
Buttons are too small.,Negative,Negative Sentiment
Just reading on the specs alone makes you say WOW.,Positive,Positive Sentiment
Love it.. Great armband.,Positive,Positive Sentiment
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,Positive,Positive Sentiment
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",Negative,Negative Sentiment
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,Positive,Positive Sentiment
I was very impressed with the price of the cases.,Positive,Positive Sentiment
Also makes it easier to hold on to.,Positive,Positive Sentiment
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",Positive,Positive Sentiment
It's pretty easy.,Positive,Positive Sentiment
I cannot make calls at certain places.,Negative,Negative Sentiment
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",Negative,Technical Issues
Beautiful styling though.,Positive,Positive Sentiment
This company charge me a restocking fee and still not given me my refund back.,Negative,Technical Issues
I'm trying to return it for a refund.,Negative,Purchase or Value Concerns
I plugged it in only to find out not a darn thing worked.,Negative,Technical Issues
Excellent product.,Positive,Positive Sentiment
Earbud piece breaks easily.,Negative,Negative Sentiment
Lousy product.,Negative,Negative Sentiment
This phone tries very hard to do everything but fails at it's very ability to be a phone.,Negative,Technical Issues
It is the best charger I have seen on the market yet.,Positive,Positive Sentiment
SWEETEST PHONE!!!,Positive,Positive Sentiment
":-)Oh, the charger seems to work fine.",Positive,Positive Sentiment
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,Positive,Positive Sentiment
Not enough volume.,Negative,Technical Issues
Echo Problem....Very unsatisfactory,Negative,Technical Issues
you could only take 2 videos at a time and the quality was very poor.,Negative,Negative Sentiment
don't waste your money.,Negative,Purchase or Value Concerns
I am going to have to be the first to negatively review this product.,Negative,Negative Sentiment
Adapter does not provide enough charging current.,Negative,Negative Sentiment
"There was so much hype over this phone that I assumed it was the best, my mistake.",Negative,Negative Sentiment
You also cannot take pictures with it in the case because the lense is covered.,Negative,Negative Sentiment
Phone falls out easily.,Negative,Negative Sentiment
"It didn't work, people can not hear me when I talk.",Negative,Negative Sentiment
The text messaging feature is really tricky to use.,Negative,Negative Sentiment
I'm really disappointed all I have now is a charger that doesn't work.,Negative,Technical Issues
Painful on the ear.,Negative,Negative Sentiment
Lasted one day and then blew up.,Negative,Negative Sentiment
disappointed.,Negative,Negative Sentiment
Kind of flops around.,Negative,Negative Sentiment
The screen does get smudged easily because it touches your ear and face.,Negative,Negative Sentiment
What a piece of junk.. I lose more calls on this phone.,Negative,Negative Sentiment
Item Does Not Match Picture.,Negative,Negative Sentiment
The only thing that disappoint me is the infra red port (irda).,Negative,Negative Sentiment
"You can not answer calls with the unit, never worked once!",Negative,Negative Sentiment
